《季節調整値》　（単位：百万円）,Unnamed: 1,Unnamed: 2
Seasonally adjusted data (a million yen),,
Years/Months,Exp-Total,Imp-Total
,,
2010/04,5624812,5045774
2010/05,5644861,5167155
2010/06,5656904,5242205
2010/07,5684947,5209667
2010/08,5667545,5167381
2010/09,5573423,5111461
2010/10,5742414,5121895
2010/11,5751836,5188967
2010/12,5783623,5148009
2011/01,5759260,5379248
2011/02,5765783,5277985
2011/03,5171450,5357845
2011/04,4925515,5759160
2011/05,5128872,5667215
2011/06,5511669,5696082
2011/07,5653821,5851427
2011/08,5664714,6028508
2011/09,5698836,5716469
2011/10,5572588,5965919
2011/11,5424050,5818291
2011/12,5313630,5808476
2012/01,5274145,5718917
2012/02,5375504,5513478
2012/03,5419456,6099393
2012/04,5528918,6037196
2012/05,5481078,6192254
2012/06,5381247,5848349
2012/07,5326995,5769605
2012/08,5229351,5701291
2012/09,5267048,6326705
2012/10,5093715,5550944
2012/11,5105607,5748370
2012/12,5169991,5944012
2013/01,5379943,6038165
2013/02,5456688,6465864
2013/03,5639297,6579264
2013/04,5666014,6608590
2013/05,5997598,6763737
2013/06,5960570,6721941
2013/07,5827231,6762879
2013/08,6024970,6958499
2013/09,5920853,6917932
2013/10,5971662,7075697
2013/11,5981622,7221533
2013/12,5983906,7152681
2014/01,5759565,7365992
2014/02,6002482,7078855
2014/03,5819910,7715104
2014/04,5922058,6983331
2014/05,5905440,6909787
2014/06,5896211,6927321
2014/07,6042833,7041679
2014/08,6105687,7011032
2014/09,6252716,7262326
2014/10,6415593,7138449
2014/11,6390073,7221596
2014/12,6507172,7054459
2015/01,6708693,6950504
2015/02,6166978,6865217
2015/03,6410101,6447464
2015/04,6346253,6659238
2015/05,6260373,6473229
2015/06,6375363,6693686
2015/07,6424291,6694885
2015/08,6359548,6729311
2015/09,6258623,6511542
2015/10,6261245,6462889
2015/11,6147534,6077852
2015/12,5899548,5821389
2016/1,5986624,5812415
2016/2,5735903,5617158
2016/3,5786864,5470811
2016/4,5706389,5373912
2016/5,5722864,5366722
2016/6,5813462,5446429
2016/7,5683850,5391502
2016/8,5632442,5293236
2016/9,5779337,5383707
2016/10,5804079,5448535
2016/11,5922898,5543671
2016/12,6113710,5807375
2017/1,6214906,6079127
2017/2,6612992,6079936
2017/3,6409493,6263876
2017/4,6318322,6358370
2017/5,6416978,6139807
2017/6,6377521,6308166
2017/7,6505214,6206385
2017/8,6593927,6192913
2017/9,6605678,6320166
2017/10,6670485,6294145
2017/11,6786817,6394552
2017/12,6844027,6793437
2018/1,6821957,6444165
2018/2,6722168,7149665
2018/3,6583584,6540240
2018/4,6848416,6368482
2018/5,6910844,7041937
2018/6,6807939,6757063
2018/7,6821647,6903613
2018/8,6902689,7011560
2018/9,6722388,6944339
2018/10,6991537,7370984
2018/11,6780574,7183289
2018/12,6642229,6836830
2019/1,6260456,6525772
2019/2,6615609,6702929
2019/3,6623602,6769945
2019/4,6572785,6746595
2019/5,6294756,6775116
2019/6,6548312,6563596
2019/7,6512428,6664382
2019/8,6340651,6464122
2019/9,6416179,6470245
2019/10,6285228,6361629
2019/11,6248846,6316568
2019/12,6284449,6329569
2020/1,6061169,6212462
2020/2,6257320,5775106
2020/3,5998220,6188248
